Experiment,width of patch,width of substrate,length of substrate,width of slot,Length of slot,Length of patch,Simulation tool used,Dielectric constant,Thickness of substrate,Resultant Frequency (GHz),Return Loss (S11) dB,gain (dBi),Substrate Material,,,,,,,,,
1,44.71,62.71,53.89,0.25,8.97,35.89,HFSS,2.75,1.5,2.43,-22.46,6.75,Polyester,,,,,,,,,
2,44.71,57.12,49.39,0.37,8.22,35.89,HFSS,2.75,1.5,2.43,-19.72,6.56,Polyester,,,,,,,,,
3,44.71,51.53,44.89,0.5,7.47,35.89,HFSS,2.75,1.5,2.43,-14.01,6.35,Polyester,,,,,,,,,
4,44.71,45.94,40.39,0.62,6.72,35.89,HFSS,2.75,1.5,3.98,-28.34,6,Polyester,,,,,,,,,
5,44.71,45,36,0.75,5.98,35.89,HFSS,2.75,1.5,5.06,-24.23,4,Polyester,,,,,,,,,
6,39.12,62.71,49.39,0.5,6.72,35.89,HFSS,2.75,1.5,2.45,-10.59,6.48,Polyester,,,,,,,,,
7,39.12,57.12,44.89,0.62,5.98,35.89,HFSS,2.75,1.5,2.45,-7,6.27,Polyester,,,,,,,,,
8,39.12,51.53,40.39,0.75,8.97,35.89,HFSS,2.75,1.5,2.46,-7.41,6,Polyester,,,,,,,,,
9,39.12,45.94,36,0.25,8.22,35.89,HFSS,2.75,1.5,2.54,-3.49,3,Polyester,,,,,,,,,
10,39.12,40.35,53.89,0.37,7.47,35.89,HFSS,2.75,1.5,2.44,-32.66,6,Polyester,,,,,,,,,
11,33.53,62.71,44.89,0.75,8.22,35.89,HFSS,2.75,1.5,2.48,-7.53,6,Polyester,,,,,,,,,
12,33.53,57.12,40.39,0.25,7.47,35.89,HFSS,2.75,1.5,2.48,-4.03,6,Polyester,,,,,,,,,
13,33.53,51.53,36,0.37,6.72,35.89,HFSS,2.75,1.5,2.57,-2.8,3,Polyester,,,,,,,,,
14,33.53,45.94,53.89,0.5,5.98,35.89,HFSS,2.75,1.5,2.46,-11.77,6,Polyester,,,,,,,,,
15,33.53,40.35,49.39,0.62,8.97,35.89,HFSS,2.75,1.5,2.46,-17.39,6,Polyester,,,,,,,,,
16,27.94,62.71,40.39,0.37,5.98,35.89,HFSS,2.75,1.5,4.91,-34.12,4.83,Polyester,,,,,,,,,
17,27.94,57.12,36,0.5,8.97,35.89,HFSS,2.75,1.5,4.83,-20.66,2.74,Polyester,,,,,,,,,
18,27.94,51.53,53.89,0.62,8.22,35.89,HFSS,2.75,1.5,2.5,-9.39,6,Polyester,,,,,,,,,
19,27.94,45.94,49.39,0.75,7.47,35.89,HFSS,2.75,1.5,2.5,-7.5,6,Polyester,,,,,,,,,
20,27.94,40.35,44.89,0.25,6.72,35.89,HFSS,2.75,1.5,4.86,-15.08,6,Polyester,,,,,,,,,
21,22.35,62.71,36,0.62,7.47,35.89,HFSS,2.75,1.5,2.63,-1.86,2.07,Polyester,,,,,,,,,
22,22.35,57.12,53.89,0.75,6.72,35.89,HFSS,2.75,1.5,2.53,-5.15,6.19,Polyester,,,,,,,,,
23,22.35,51.53,49.39,0.25,5.98,35.89,HFSS,2.75,1.5,2.54,-3.55,5.96,Polyester,,,,,,,,,
24,22.35,45.94,44.89,0.37,8.97,35.89,HFSS,2.75,1.5,2.54,-3.81,6,Polyester,,,,,,,,,
25,22.35,40.35,40.39,0.5,8.22,35.89,HFSS,2.75,1.5,2.55,-2.23,4.98,Polyester,,,,,,,,,
26,44.71,62.71,53.89,0.25,8.97,35.89,HFSS,2.75,1.5,2.43,-22.46,6.75,Polyester,,,,,,,,,
27,44.71,57.12,51.64,0.37,8.22,35.89,HFSS,2.75,1.5,2.43,-24.32,6.62,Polyester,,,,,,,,,
28,44.71,51.53,49.39,0.5,7.47,35.89,HFSS,2.75,1.5,2.43,-22.04,6.31,Polyester,,,,,,,,,
29,44.71,45.94,47.14,0.62,6.72,35.89,HFSS,2.75,1.5,2.42,-30.92,6,Polyester,,,,,,,,,
30,44.71,45,44.89,0.75,5.98,35.89,HFSS,2.75,1.5,2.44,-15.66,6,Polyester,,,,,,,,,
31,41.91,62.71,51.64,0.5,6.72,35.89,HFSS,2.75,1.5,2.44,-13.36,6.86,Polyester,,,,,,,,,
32,41.91,57.12,49.39,0.62,5.98,35.89,HFSS,2.75,1.5,2.4,-10.77,6.55,Polyester,,,,,,,,,
33,41.91,51.53,47.14,0.75,8.97,35.89,HFSS,2.75,1.5,2.44,-21.16,6.46,Polyester,,,,,,,,,
34,41.91,45.94,44.89,0.25,8.22,35.89,HFSS,2.75,1.5,2.42,-11.15,6.12,Polyester,,,,,,,,,
35,40.35,40.35,53.89,0.37,7.47,35.89,HFSS,2.75,1.5,2.44,-32.66,6,Polyester,,,,,,,,,
36,39.12,62.71,49.39,0.75,8.22,35.89,HFSS,2.75,1.5,2.45,-13.92,6.56,Polyester,,,,,,,,,
37,39.12,57.12,47.14,0.25,7.47,35.89,HFSS,2.75,1.5,2.45,-8.95,6.54,Polyester,,,,,,,,,
38,39.12,51.53,44.89,0.37,6.72,35.89,HFSS,2.75,1.5,2.45,-7.94,6.32,Polyester,,,,,,,,,
39,39.12,45.94,53.89,0.5,5.98,35.89,HFSS,2.75,1.5,2.44,-15.72,6,Polyester,,,,,,,,,
40,39.12,40.35,51.64,0.62,8.97,35.89,HFSS,2.75,1.5,2.43,-16.25,6,Polyester,,,,,,,,,
41,36.32,62.71,47.14,0.37,5.98,35.89,HFSS,2.75,1.5,2.46,-6.14,6,Polyester,,,,,,,,,
42,36.32,57.12,44.89,0.5,8.97,35.89,HFSS,2.75,1.5,2.46,-9.69,6.27,Polyester,,,,,,,,,
43,36.32,51.53,53.89,0.62,8.22,35.89,HFSS,2.75,1.5,2.45,-17.99,6,Polyester,,,,,,,,,
44,36.32,45.94,51.64,0.75,7.47,35.89,HFSS,2.75,1.5,2.45,-18.35,6,Polyester,,,,,,,,,
45,36.32,40.35,47.14,0.25,6.72,35.89,HFSS,2.75,1.5,2.45,-10.8,6,Polyester,,,,,,,,,
46,33.53,62.71,44.89,0.62,7.47,35.89,HFSS,2.75,1.5,2.48,-6.58,6,Polyester,,,,,,,,,
47,33.53,57.12,53.89,0.75,6.72,35.89,HFSS,2.75,1.5,2.47,-10.31,6.5,Polyester,,,,,,,,,
48,33.53,51.53,51.64,0.25,5.98,35.89,HFSS,2.75,1.5,2.46,-7.76,6,Polyester,,,,,,,,,
49,33.53,45.94,49.39,0.37,8.97,35.89,HFSS,2.75,1.5,2.46,-10.43,6,Polyester,,,,,,,,,
50,33.53,40.35,47.14,0.5,8.22,35.89,HFSS,2.75,1.5,2.46,-12.12,6,Polyester,,,,,,,,,
51,19.76,25.76,31.5,0.25,3.25,31,HFSS,3.8,0.175,2.5,-4.1,6,PET,,,,,,,,,
52,19.76,32.2,34.375,0.37,4.0625,31,HFSS,3.8,0.175,2.5,-8.43,6,PET,,,,,,,,,
53,19.76,38.64,37.25,0.5,4.875,31,HFSS,3.8,0.175,2.5,-9.11,6,PET,,,,,,,,,
54,19.76,45.08,40.125,0.62,5.6875,31,HFSS,3.8,0.175,2.5,-9.8,2.07,PET,,,,,,,,,
55,19.76,51.52,43,0.75,6.5,31,HFSS,3.8,0.175,2.5,-10.4,6.19,PET,,,,,,,,,
56,24.7,25.76,34.375,0.5,5.6875,31,HFSS,3.8,0.175,2.5,-5.9,5.96,PET,,,,,,,,,
57,24.7,32.2,37.25,0.62,6.5,31,HFSS,3.8,0.175,2.5,-14.1,6,PET,,,,,,,,,
58,24.7,38.64,40.125,0.75,3.25,31,HFSS,3.8,0.175,2.5,-9.65,4.98,PET,,,,,,,,,
59,24.7,45.08,43,0.25,4.0625,31,HFSS,3.8,0.175,2.5,-10.3,6.75,PET,,,,,,,,,
60,24.7,51.52,31.5,0.37,4.875,31,HFSS,3.8,0.175,2.5,-5.5,6.62,PET,,,,,,,,,
61,29.64,25.76,37.25,0.75,4.0625,31,HFSS,3.8,0.175,2.4,-5.8,6.31,PET,,,,,,,,,
62,29.64,32.2,40.125,0.25,4.875,31,HFSS,3.8,0.175,2.4,-11.7,6,PET,,,,,,,,,
63,29.64,38.64,43,0.37,5.6875,31,HFSS,3.8,0.175,2.5,-10.52,6,PET,,,,,,,,,
64,29.64,45.08,31.5,0.5,6.5,31,HFSS,3.8,0.175,2.5,-6.8,0.5,PET,,,,,,,,,
65,29.64,51.52,34.375,0.62,3.25,31,HFSS,3.8,0.175,2.5,-4.7,0.2,PET,,,,,,,,,
66,34.58,25.76,40.125,0.37,6.5,31,HFSS,3.8,0.175,2.4,-8.9,6.46,PET,,,,,,,,,
67,34.58,32.2,43,0.5,3.25,31,HFSS,3.8,0.175,2.4,-11.6,6.12,PET,,,,,,,,,
68,34.58,38.64,31.5,0.62,4.0625,31,HFSS,3.8,0.175,2.5,-6.58,1,PET,,,,,,,,,
69,34.58,45.08,34.375,0.75,4.875,31,HFSS,3.8,0.175,2.4,-5.62,2,PET,,,,,,,,,
70,34.58,51.52,37.25,0.25,5.6875,31,HFSS,3.8,0.175,2.5,-10.1,6.54,PET,,,,,,,,,
71,39.52,25.76,43,0.62,4.875,31,HFSS,3.8,0.175,2.4,-15,6,PET,,,,,,,,,
72,39.52,32.2,31.5,0.75,5.6875,31,HFSS,3.8,0.175,2.5,-9.5,6,PET,,,,,,,,,
73,39.52,38.64,34.375,0.25,6.5,31,HFSS,3.8,0.175,2.4,-9.1,5,PET,,,,,,,,,
74,39.52,45.08,37.25,0.37,3.25,31,HFSS,3.8,0.175,2.4,-9.9,5.1,PET,,,,,,,,,
75,39.52,51.52,40.125,0.5,4.0625,31,HFSS,3.8,0.175,2.4,-10.1,6.19,PET,,,,,,,,,
76,21.645,43.5,35.5,0.0625,4,35.26,CST,3.8,0.175,2.4,-10.1,6.56,PET,,,,,,,,,
77,21.645,43.97,35.9,0.078,5,35.26,CST,3.8,0.175,3.08,-1.15,0.1,PET,,,,,,,,,
78,21.645,44.44,36.43,0.094,6,35.26,CST,3.8,0.175,2.45,-8.06,3,PET,,,,,,,,,
79,21.645,44.92,36.89,0.11,7,35.26,CST,3.8,0.175,2.45,-8.9,3.2,PET,,,,,,,,,
80,21.645,45.39,37.36,0.125,8,35.26,CST,3.8,0.175,2.455,-9.67,4,PET,,,,,,,,,
81,27.05,43.5,35.9,0.094,7,35.26,CST,3.8,0.175,2.945,-1.5,0.01,PET,,,,,,,,,
82,27.05,43.97,36.43,0.11,8,35.26,CST,3.8,0.175,2.45,-12.9,4.43,PET,,,,,,,,,
83,27.05,44.44,36.89,0.125,4,35.26,CST,3.8,0.175,2.445,-9.99,4,PET,,,,,,,,,
84,27.05,44.92,37.36,0.0625,5,35.26,CST,3.8,0.175,2.435,-8.8,3,PET,,,,,,,,,
85,27.05,45.39,35.5,0.078,6,35.26,CST,3.8,0.175,2.955,-1.13,0.1,PET,,,,,,,,,
86,32.47,43.5,36.43,0.125,5,35.26,CST,3.8,0.175,2.44,-13.44,4.51,PET,,,,,,,,,
87,32.47,43.97,36.89,0.0625,6,35.26,CST,3.8,0.175,2.435,-11.21,4.83,PET,,,,,,,,,
88,32.47,44.44,37.36,0.078,7,35.26,CST,3.8,0.175,2.435,-14.26,5.22,PET,,,,,,,,,
89,32.47,44.92,35.5,0.094,8,35.26,CST,3.8,0.175,2.845,-1.19,4.83,PET,,,,,,,,,
90,32.47,45.39,35.9,0.11,4,35.26,CST,3.8,0.175,2.83,-0.7,5.22,PET,,,,,,,,,
91,37.88,43.5,36.89,0.078,8,35.26,CST,3.8,0.175,2.435,-19.46,5.15,PET,,,,,,,,,
